ticker,close_date,close_price,date_after_gap,price_after_gap,change_price_after_gap
LSRG,2023-07-07 00:00:00,710.6,2023-08-06 00:00:00,763.6,1.0745848578665915
LVHK,2021-06-01 00:00:00,13.08,2021-07-01 00:00:00,12.58,0.9617737003058104
LVHK,2022-06-01 00:00:00,12.12,2022-07-01 00:00:00,12.06,0.9950495049504952
MAGN,2021-06-17 00:00:00,63.535,2021-07-17 00:00:00,62.0,0.9758400881403952
MAGN,2021-09-27 00:00:00,72.59,2021-10-27 00:00:00,67.51,0.9300179088028654
MAGN,2022-01-13 00:00:00,67.38,2022-02-12 00:00:00,62.3,0.9246067082220244
MDMG,2021-05-05 00:00:00,596.6,2021-06-04 00:00:00,701.0,1.174991619175327
MDMG,2021-09-24 00:00:00,862.2,2021-10-24 00:00:00,832.8,0.9659011830201808
MDMG,2022-11-07 00:00:00,484.5,2022-12-07 00:00:00,428.8,0.8850361197110423
MISB,2022-07-13 00:00:00,13.3,2022-08-12 00:00:00,13.2,0.9924812030075189
MISB,2023-05-22 00:00:00,35.4,2023-06-21 00:00:00,39.3,1.1101694915254237
MISBP,2022-07-13 00:00:00,11.7,2022-08-12 00:00:00,11.3,0.965811965811966
MISBP,2023-05-22 00:00:00,47.7,2023-06-21 00:00:00,45.2,0.9475890985324948
MOEX,2021-05-14 00:00:00,175.35,2021-06-13 00:00:00,174.96,0.9977758768177932
MOEX,2023-05-12 00:00:00,109.17,2023-06-11 00:00:00,126.2,1.155995236786663
MRKC,2021-06-11 00:00:00,0.3966,2021-07-11 00:00:00,0.3752,0.9460413514876448
MRKC,2022-06-28 00:00:00,0.2666,2022-07-28 00:00:00,0.2408,0.9032258064516128
MRKC,2023-01-08 00:00:00,0.283,2023-02-07 00:00:00,0.2862,1.0113074204946997
MRKC,2023-06-23 00:00:00,0.4008,2023-07-23 00:00:00,0.4828,1.2045908183632734
MRKP,2021-06-15 00:00:00,0.2628,2021-07-15 00:00:00,0.2475,0.9417808219178084
MRKP,2022-06-27 00:00:00,0.1852,2022-07-27 00:00:00,0.17,0.91792656587473
MRKP,2023-01-08 00:00:00,0.2009,2023-02-07 00:00:00,0.2064,1.0273768043802889
MRKP,2023-06-23 00:00:00,0.2411,2023-07-23 00:00:00,0.3206,1.3297386976358356
MRKU,2022-06-28 00:00:00,0.1786,2022-07-28 00:00:00,0.159,0.8902575587905934
MRKU,2023-01-08 00:00:00,0.1758,2023-02-07 00:00:00,0.1834,1.043230944254835
MRKU,2023-06-23 00:00:00,0.2996,2023-07-23 00:00:00,0.3478,1.1608811748998666
MRKV,2022-06-28 00:00:00,0.0308,2022-07-28 00:00:00,0.03015,0.9788961038961038
MRSB,2021-07-06 00:00:00,0.421,2021-08-05 00:00:00,0.428,1.0166270783847982
MRSB,2021-12-06 00:00:00,0.427,2022-01-05 00:00:00,0.414,0.9695550351288056
MRSB,2023-07-07 00:00:00,0.56,2023-08-06 00:00:00,0.736,1.314285714285714
MRSB,2023-12-05 00:00:00,0.867,2024-01-04 00:00:00,0.848,0.978085351787774
MSNG,2021-07-05 00:00:00,2.2205,2021-08-04 00:00:00,2.201,0.991218194100428
MSNG,2022-07-11 00:00:00,1.85,2022-08-10 00:00:00,1.777,0.9605405405405404
MSNG,2023-07-04 00:00:00,2.8475,2023-08-03 00:00:00,3.15,1.106233538191396
MSRS,2021-06-01 00:00:00,1.214,2021-07-01 00:00:00,1.191,0.9810543657331138
MSRS,2022-07-03 00:00:00,0.887,2022-08-02 00:00:00,0.8635,0.9735062006764374
MSRS,2023-01-08 00:00:00,0.9305,2023-02-07 00:00:00,0.9505,1.0214938205265989
MTLR,2021-07-13 00:00:00,79.52,2021-08-12 00:00:00,80.0,1.006036217303823
MTLRP,2021-07-13 00:00:00,120.35,2021-08-12 00:00:00,137.95,1.1462401329455754
MTSS,2021-07-08 00:00:00,318.2,2021-08-07 00:00:00,316.1,0.9934003771213076
MTSS,2021-10-12 00:00:00,318.05,2021-11-11 00:00:00,316.45,0.9949693444426976
MTSS,2022-07-12 00:00:00,236.85,2022-08-11 00:00:00,245.5,1.0365210048553937
MTSS,2023-06-29 00:00:00,303.5,2023-07-29 00:00:00,287.55,0.9474464579901154
NAUK,2022-09-30 00:00:00,172.4,2022-10-30 00:00:00,187.4,1.0870069605568446
NAUK,2023-06-05 00:00:00,340.0,2023-07-05 00:00:00,350.0,1.0294117647058822
NKHP,2021-07-12 00:00:00,349.5,2021-08-11 00:00:00,373.0,1.067238912732475
NKHP,2021-10-11 00:00:00,357.0,2021-11-10 00:00:00,351.0,0.9831932773109244
NKHP,2022-07-11 00:00:00,313.5,2022-08-10 00:00:00,297.5,0.94896331738437
NKHP,2023-07-12 00:00:00,755.0,2023-08-11 00:00:00,1267.5,1.6788079470198676
NKNC,2021-04-27 00:00:00,92.85,2021-05-27 00:00:00,96.1,1.0350026925148088
NKNC,2021-09-20 00:00:00,138.05,2021-10-20 00:00:00,131.55,0.9529156102861284
NKNC,2022-07-11 00:00:00,80.0,2022-08-10 00:00:00,85.95,1.074375
NKNC,2023-07-11 00:00:00,122.2,2023-08-10 00:00:00,139.1,1.1382978723404256
NKNCP,2021-04-27 00:00:00,77.3,2021-05-27 00:00:00,76.8,0.9935316946959896
NKNCP,2021-09-20 00:00:00,109.0,2021-10-20 00:00:00,106.58,0.9777981651376146
NKNCP,2022-07-11 00:00:00,65.12,2022-08-10 00:00:00,74.74,1.1477272727272725
NKNCP,2023-07-11 00:00:00,83.1,2023-08-10 00:00:00,88.92,1.0700361010830326
NLMK,2021-05-11 00:00:00,272.86,2021-06-10 00:00:00,264.62,0.9698013633365096
NLMK,2021-06-23 00:00:00,246.7,2021-07-23 00:00:00,246.76,1.000243210376976
NLMK,2021-09-07 00:00:00,236.2,2021-10-07 00:00:00,217.5,0.9208298052497884
NLMK,2021-12-07 00:00:00,208.36,2022-01-06 00:00:00,213.82,1.0262046458053369
NMTP,2021-07-12 00:00:00,6.97,2021-08-11 00:00:00,7.405,1.0624103299856529
NMTP,2022-07-12 00:00:00,5.01,2022-08-11 00:00:00,4.795,0.9570858283433132
NVTK,2021-05-07 00:00:00,1419.6,2021-06-06 00:00:00,1576.8,1.110735418427726
NVTK,2021-10-11 00:00:00,1905.0,2021-11-10 00:00:00,1756.2,0.9218897637795276
NVTK,2022-05-05 00:00:00,1009.2,2022-06-04 00:00:00,817.0,0.8095521204914784
NVTK,2022-10-09 00:00:00,960.0,2022-11-08 00:00:00,1134.8,1.1820833333333334
NVTK,2023-05-03 00:00:00,1223.8,2023-06-02 00:00:00,1340.4,1.0952770060467398
NVTK,2023-10-10 00:00:00,1717.4,2023-11-09 00:00:00,1612.2,0.9387446139513216
OGKB,2021-07-02 00:00:00,0.741,2021-08-01 00:00:00,0.6752,0.9112010796221324
OGKB,2022-07-11 00:00:00,0.555,2022-08-10 00:00:00,0.5226,0.9416216216216214
OGKB,2023-07-10 00:00:00,0.6688,2023-08-09 00:00:00,0.685,1.0242224880382778
OMZZP,2023-07-12 00:00:00,10415.0,2023-08-11 00:00:00,12725.0,1.2217954872779644
PIKK,2021-05-17 00:00:00,959.3,2021-06-16 00:00:00,1083.4,1.1293651620973628
PLZL,2021-06-07 00:00:00,15200.0,2021-07-07 00:00:00,14525.5,0.955625
PLZL,2021-10-11 00:00:00,12219.0,2021-11-10 00:00:00,15117.0,1.2371716179720107
PLZL,2023-06-16 00:00:00,10671.0,2023-07-16 00:00:00,10823.0,1.0142442132883516
PMSB,2021-06-24 00:00:00,177.0,2021-07-24 00:00:00,154.6,0.8734463276836157
PMSB,2022-05-22 00:00:00,123.9,2022-06-21 00:00:00,118.4,0.9556093623890234
PMSB,2023-05-23 00:00:00,155.0,2023-06-22 00:00:00,155.7,1.004516129032258
PMSBP,2021-06-24 00:00:00,158.2,2021-07-24 00:00:00,149.2,0.943109987357775
PMSBP,2022-05-22 00:00:00,124.8,2022-06-21 00:00:00,118.2,0.9471153846153848
PMSBP,2023-05-23 00:00:00,157.2,2023-06-22 00:00:00,159.6,1.015267175572519
POLY,2021-05-07 00:00:00,1662.3,2021-06-06 00:00:00,1751.6,1.053720748360705
POLY,2021-09-10 00:00:00,1394.0,2021-10-10 00:00:00,1256.0,0.9010043041606888
POLY,2022-05-06 00:00:00,691.0,2022-06-05 00:00:00,505.0,0.7308248914616498
POSI,2022-05-08 00:00:00,950.0,2022-06-07 00:00:00,850.0,0.8947368421052632
POSI,2022-11-14 00:00:00,1258.8,2022-12-14 00:00:00,1243.0,0.9874483635208136
POSI,2023-04-16 00:00:00,1709.4,2023-05-16 00:00:00,1704.0,0.9968409968409968
POSI,2023-12-03 00:00:00,2020.0,2024-01-02 00:00:00,1996.8,0.9885148514851484
QIWI,2021-04-27 00:00:00,801.5,2021-05-27 00:00:00,817.0,1.0193387398627574
QIWI,2021-06-22 00:00:00,775.5,2021-07-22 00:00:00,773.0,0.996776273372018
QIWI,2021-09-07 00:00:00,633.5,2021-10-07 00:00:00,622.0,0.9818468823993686
QIWI,2021-12-06 00:00:00,595.0,2022-01-05 00:00:00,607.0,1.020168067226891
RASP,2021-06-07 00:00:00,245.3,2021-07-07 00:00:00,237.44,0.9679576029351814
RASP,2021-10-04 00:00:00,382.04,2021-11-03 00:00:00,459.14,1.2018113286566852
RASP,2022-01-18 00:00:00,386.2,2022-02-17 00:00:00,495.25,1.2823666494044537
RDRB,2021-06-08 00:00:00,224.0,2021-07-08 00:00:00,222.0,0.9910714285714286
RDRB,2022-09-20 00:00:00,158.0,2022-10-20 00:00:00,138.0,0.8734177215189873
RDRB,2023-05-22 00:00:00,183.0,2023-06-21 00:00:00,230.0,1.2568306010928962
ROSB,2023-06-09 00:00:00,102.0,2023-07-09 00:00:00,99.2,0.9725490196078432
ROSN,2021-06-15 00:00:00,536.05,2021-07-15 00:00:00,562.5,1.0493424120884247
ROSN,2021-10-11 00:00:00,641.55,2021-11-10 00:00:00,629.8,0.9816849816849816
ROSN,2022-07-11 00:00:00,343.8,2022-08-10 00:00:00,339.5,0.9874927283304248
ROSN,2023-01-12 00:00:00,346.85,2023-02-11 00:00:00,351.0,1.0119648262937868
ROSN,2023-07-11 00:00:00,478.8,2023-08-10 00:00:00,535.2,1.117794486215539
RSTI,2021-07-17 00:00:00,1.278,2021-08-16 00:00:00,1.2531,0.9805164319248828
RSTIP,2021-07-17 00:00:00,1.8,2021-08-16 00:00:00,1.892,1.051111111111111
RTKM,2021-07-12 00:00:00,98.84,2021-08-11 00:00:00,96.17,0.9729866450829624
RTKM,2022-07-20 00:00:00,61.03,2022-08-19 00:00:00,60.33,0.9885302310339176
RTKM,2023-12-01 00:00:00,74.82,2023-12-31 00:00:00,68.49,0.9153969526864476
RTKMP,2021-07-12 00:00:00,88.35,2021-08-11 00:00:00,88.2,0.99830220713073
RTKMP,2022-07-20 00:00:00,60.35,2022-08-19 00:00:00,61.1,1.012427506213753
RTKMP,2023-12-01 00:00:00,67.85,2023-12-31 00:00:00,62.7,0.9240972733971998
RTSB,2022-07-20 00:00:00,0.532,2022-08-19 00:00:00,0.536,1.0075187969924813
RTSB,2023-05-23 00:00:00,1.518,2023-06-22 00:00:00,1.72,1.133069828722003
RTSBP,2022-07-20 00:00:00,0.498,2022-08-19 00:00:00,0.529,1.062248995983936
RTSBP,2023-05-23 00:00:00,1.145,2023-06-22 00:00:00,1.15,1.004366812227074
RZSB,2021-06-03 00:00:00,19.26,2021-07-03 00:00:00,16.72,0.8681204569055035
RZSB,2022-06-09 00:00:00,16.7,2022-07-09 00:00:00,15.42,0.9233532934131736
RZSB,2023-06-01 00:00:00,33.8,2023-07-01 00:00:00,34.36,1.0165680473372782
SAGO,2023-07-09 00:00:00,2.908,2023-08-08 00:00:00,4.47,1.5371389270976616
SAGOP,2023-07-09 00:00:00,2.914,2023-08-08 00:00:00,3.994,1.370624571036376
SBER,2021-05-12 00:00:00,302.02,2021-06-11 00:00:00,313.0,1.0363552082643537
SBER,2023-05-11 00:00:00,229.32,2023-06-10 00:00:00,240.4,1.048316762602477
SBERP,2021-05-12 00:00:00,280.59,2021-06-11 00:00:00,292.22,1.041448376634948
SBERP,2023-05-11 00:00:00,226.55,2023-06-10 00:00:00,238.49,1.0527035974398586
